"filename", "language", "JSON", "XML", "PHP", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_03_08_005337_tb_study_plans.php", "PHP", 0, 0, 22, 0, 0, 0, 8, 4, 34
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_03_10_000447_tb_student_answers.php", "PHP", 0, 0, 26, 0, 0, 0, 8, 8, 42
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_03_31_001700_tb_lesson_completed.php", "PHP", 0, 0, 24, 0, 0, 0, 7, 9, 40
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_04_11_122239_tb_activity_progress.php", "PHP", 0, 0, 23, 0, 0, 0, 7, 10, 40
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_04_14_225613_tb_password_resets.php", "PHP", 0, 0, 20, 0, 0, 0, 7, 4, 31
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\ActivitySeeder.php", "PHP", 0, 0, 63, 0, 0, 0, 0, 4, 67
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\AlternativeSeeder.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\AreasSeeder.php", "PHP", 0, 0, 43, 0, 0, 0, 3, 8, 54
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\ClassCourseSeeder.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\CourseSeeder.php", "PHP", 0, 0, 78, 0, 0, 0, 0, 4, 82
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 23, 0, 0, 0, 3, 11, 37
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\Persons.php", "PHP", 0, 0, 52, 0, 0, 0, 4, 8, 64
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\StudyPlanSeeder.php", "PHP", 0, 0, 57, 0, 0, 0, 0, 4, 61
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\VacancySeeder.php", "PHP", 0, 0, 84, 0, 0, 0, 0, 5, 89
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\auth.php", "PHP", 0, 0, 6, 0, 0, 0, 10, 5, 21
